,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,port hawkesbury,45.62,-61.35,46.4,93,90,20.8,CA,1591121795
321,gorontalo,0.54,123.06,75.24,87,87,2.35,ID,1591122080
322,selma,36.57,-119.61,82.99,44,93,4.38,US,1591122081
323,hambantota,6.12,81.12,79.9,80,55,14.52,LK,1591122081
324,usinsk,65.99,57.53,42.75,65,51,3.83,RU,1591121593
325,cockburn town,21.46,-71.14,86.0,62,40,12.75,TC,1591122081
326,fairbanks,64.84,-147.72,61.0,62,1,3.36,US,1591121940
327,pandan,14.05,124.17,79.97,75,0,3.29,PH,1591122082
328,chokurdakh,70.63,147.92,35.38,84,99,9.8,RU,1591122082
329,ust-kuyga,70.02,135.6,43.56,75,100,6.64,RU,1591122082
330,chupa,66.27,33.05,63.79,59,22,7.52,RU,1591122083
331,juneau,58.3,-134.42,50.0,87,90,8.05,US,1591121380
332,soe,-9.86,124.28,64.45,100,22,5.99,ID,1591122083
333,naze,28.37,129.48,77.0,100,75,6.93,JP,1591122084
334,lyuban,52.8,28.0,49.39,88,52,9.22,BY,1591122084
335,baghdad,33.34,44.4,93.2,17,0,9.17,IQ,1591122056
336,manado,1.49,124.85,73.4,100,20,3.8,ID,1591122084
337,polovinnoye,54.79,65.99,49.35,82,69,5.84,RU,1591122085
338,oksfjord,70.24,22.35,46.99,93,75,9.17,NO,1591122085
339,aquiraz,-3.9,-38.39,86.0,66,40,12.75,BR,1591122085
340,tucuman,-26.82,-65.22,68.0,40,0,3.24,AR,1591122086
341,aloleng,16.13,119.78,84.31,69,25,1.61,PH,1591122086
342,qandala,11.47,49.87,88.47,66,95,5.77,SO,1591122086
343,christchurch,-43.53,172.63,48.99,100,90,3.36,NZ,1591122074
344,port hardy,50.7,-127.42,50.0,93,90,3.36,CA,1591122087
345,muros,42.78,-9.06,69.01,80,10,8.99,ES,1591122087
346,chekalin,54.1,36.24,51.8,93,62,11.18,RU,1591122087
347,mailani,28.28,80.35,89.85,31,0,4.94,IN,1591122088
348,bambous virieux,-20.34,57.76,73.4,83,75,14.99,MU,1591122088
349,atar,20.52,-13.05,100.8,16,99,14.97,MR,1591122075
350,acapulco,16.86,-99.89,82.4,69,75,10.29,MX,1591122088
351,miranda,3.25,-76.23,84.2,58,75,4.7,CO,1591122089
352,wagar,16.15,36.2,100.54,13,22,7.27,SD,1591122089
353,pavlogradka,54.2,73.56,51.66,68,0,7.61,RU,1591122089
354,pasighat,28.07,95.33,72.48,85,100,4.59,IN,1591122090
355,petropavlovsk-kamchatskiy,53.05,158.65,42.8,87,75,2.24,RU,1591122090
356,nhamunda,-2.19,-56.71,84.13,84,51,3.62,BR,1591122090
357,pilar,-9.6,-35.96,82.4,78,75,4.7,BR,1591122090
358,ocampo,21.65,-101.5,74.28,33,0,11.07,MX,1591122091
359,ochakiv,46.61,31.55,55.4,76,41,4.47,UA,1591122091
360,henties bay,-22.12,14.28,66.0,78,43,12.5,NA,1591121578
361,mathathane,-22.27,28.75,64.11,48,0,9.22,BW,1591122092
362,plattsburgh,44.7,-73.45,60.01,67,90,8.05,US,1591121841
363,brae,60.4,-1.35,48.2,81,100,14.99,GB,1591121574
364,beaufort,5.35,115.75,80.6,88,75,3.06,MY,1591122094
365,marsa matruh,31.35,27.25,68.0,68,0,11.41,EG,1591122094
366,namtsy,62.72,129.67,41.0,75,1,4.47,RU,1591122094
367,te anau,-45.42,167.72,52.45,87,100,4.41,NZ,1591121580
368,shwebo,22.57,95.7,82.63,72,41,11.18,MM,1591122095
369,lanzhou,36.06,103.79,68.0,36,7,4.72,CN,1591122095
370,kloulklubed,7.04,134.26,78.8,83,40,3.36,PW,1591122095
371,ibague,4.44,-75.23,84.2,70,75,5.82,CO,1591122050
372,harper,4.38,-7.72,81.23,82,84,8.32,LR,1591122096
373,cayenne,4.93,-52.33,78.8,88,96,8.3,GF,1591122096
374,coquimbo,-29.95,-71.34,57.2,82,75,9.17,CL,1591122096
375,los llanos de aridane,28.66,-17.92,73.4,64,75,6.93,ES,1591122097
376,keti bandar,24.14,67.45,83.5,85,0,15.7,PK,1591122097
377,urusha,54.05,122.9,40.95,87,39,3.47,RU,1591122097
378,san patricio,19.22,-104.7,82.4,83,20,11.41,MX,1591122098
379,kungurtug,50.6,97.52,45.05,85,94,1.86,RU,1591122098
380,maragheh,37.39,46.24,77.0,29,20,6.93,IR,1591122098
381,kaeo,-35.1,173.78,50.0,3,100,5.48,NZ,1591122098
382,merauke,-8.47,140.33,75.85,78,79,15.28,ID,1591122099
383,prince rupert,54.32,-130.32,51.8,81,90,5.82,CA,1591122063
